query_id	ndcg10	precision5	precision10	allGoldInTop10	map	rPrecision	rbpResidual	oracleNdcg10	orderingLoss	recallLoss	firstGoldRank	recallLimited	goldSurvivesBudget
hu-001	0.1391	0.0000	0.1000	0.0000	0.0801	0.0000	0.9207	0.6367	0.4976	0.3633	6	true	
hu-002	1.0000	0.6000	0.3000	1.0000	1.0000	1.0000	0.5120	1.0000	0.0000	0.0000	1	false	1.0000
hu-003	0.8048	0.6000	0.3000	0.0000	0.6875	0.7500	0.5376	0.8319	0.0271	0.1681	1	true	1.0000
hu-004	0.1128	0.0000	0.1000	0.0000	0.0925	0.0000	0.9516	0.8319	0.7190	0.1681	10	true	
hu-005	0.1128	0.0000	0.1000	0.0000	0.0250	0.0000	0.9732	0.3904	0.2775	0.6096	10	true	
hu-006	0.3854	0.2000	0.2000	0.0000	0.2674	0.2500	0.7726	1.0000	0.6146	0.0000	2	false	1.0000
hu-007	0.9223	0.6000	0.4000	1.0000	0.7986	0.7500	0.5040	1.0000	0.0777	0.0000	1	false	1.0000
hu-008	0.8297	0.6000	0.4000	0.0000	0.7526	0.6000	0.4665	1.0000	0.1703	0.0000	1	false	1.0000
hu-009	0.5079	0.2000	0.2000	0.0000	0.3681	0.2500	0.7493	0.8319	0.3240	0.1681	1	true	1.0000
hu-010	0.1952	0.2000	0.1000	0.0000	0.1664	0.2500	0.8652	1.0000	0.8048	0.0000	3	false	1.0000
hu-011	0.6509	0.4000	0.2000	1.0000	0.5000	0.5000	0.7376	1.0000	0.3491	0.0000	2	false	1.0000
hu-012	0.8539	0.8000	0.4000	0.0000	0.7764	0.8000	0.4301	1.0000	0.1461	0.0000	1	false	1.0000
hu-013	0.7654	0.4000	0.2000	0.0000	0.7500	0.6667	0.6228	1.0000	0.2346	0.0000	1	false	1.0000
hu-014	0.9200	0.6000	0.6000	1.0000	0.7885	0.6667	0.3928	1.0000	0.0800	0.0000	1	false	1.0000
hu-015	1.0000	0.2000	0.1000	1.0000	1.0000	1.0000	0.8000	1.0000	0.0000	0.0000	1	false	1.0000
hu-016	1.0000	0.4000	0.2000	1.0000	1.0000	1.0000	0.6400	1.0000	0.0000	0.0000	1	false	1.0000
hu-017	0.9197	0.4000	0.2000	1.0000	0.8333	0.5000	0.6720	1.0000	0.0803	0.0000	1	false	1.0000
hu-018	0.7875	0.6000	0.5000	0.0000	0.6847	0.6667	0.4533	1.0000	0.2125	0.0000	1	false	1.0000
hu-019	1.0000	1.0000	0.5000	1.0000	1.0000	1.0000	0.3277	1.0000	0.0000	0.0000	1	false	1.0000
hu-020	0.9060	0.6000	0.3000	1.0000	0.8056	0.6667	0.5696	1.0000	0.0940	0.0000	1	false	1.0000
hu-021	0.9829	0.8000	0.4000	1.0000	0.9500	0.7500	0.4301	1.0000	0.0171	0.0000	1	false	1.0000
hu-022	0.7095	0.6000	0.3000	0.0000	0.6083	0.5000	0.5985	1.0000	0.2905	0.0000	1	false	1.0000
hu-023	0.3904	0.2000	0.1000	0.0000	0.3580	0.2500	0.7613	0.8319	0.4415	0.1681	1	true	1.0000
hu-024	0.5856	0.4000	0.2000	0.0000	0.4702	0.5000	0.6610	0.8319	0.2463	0.1681	1	true	1.0000
hu-025	0.8503	0.4000	0.2000	1.0000	0.7000	0.5000	0.7181	1.0000	0.1497	0.0000	1	false	1.0000
hu-026	0.6886	0.4000	0.3000	0.0000	0.4821	0.5000	0.6452	0.8319	0.1432	0.1681	1	true	1.0000
hu-027	1.0000	0.6000	0.3000	1.0000	1.0000	1.0000	0.5120	1.0000	0.0000	0.0000	1	false	1.0000
hu-028	0.1312	0.2000	0.1000	0.0000	0.1064	0.2000	0.8937	0.7227	0.5915	0.2773	5	true	1.0000
hu-029	0.8319	0.6000	0.3000	0.0000	0.8333	0.7500	0.4948	1.0000	0.1681	0.0000	1	false	1.0000
hu-030	0.7095	0.6000	0.3000	0.0000	0.6083	0.5000	0.5985	1.0000	0.2905	0.0000	1	false	1.0000
hu-031	0.7877	0.6000	0.3000	0.0000	0.6500	0.5000	0.5581	0.8319	0.0442	0.1681	1	true	1.0000
