query_id	ndcg10	precision5	precision10	allGoldInTop10	map	rPrecision	rbpResidual	oracleNdcg10	orderingLoss	recallLoss	firstGoldRank	recallLimited	goldSurvivesBudget
q-001	0.8200	0.6000	0.4000	0.0000	0.7603	0.6000	0.4583	1.0000	0.1800	0.0000	1	false	1.0000
q-002	0.7654	0.4000	0.2000	0.0000	0.6667	0.6667	0.6400	0.7654	0.0000	0.2346	1	true	1.0000
q-003	0.5249	0.4000	0.3000	1.0000	0.3278	0.0000	0.7821	1.0000	0.4751	0.0000	4	false	1.0000
q-004	0.5801	0.4000	0.4000	0.0000	0.4482	0.4000	0.6362	1.0000	0.4199	0.0000	2	false	1.0000
q-005	0.6241	0.4000	0.2000	1.0000	0.4500	0.5000	0.7581	1.0000	0.3759	0.0000	2	false	1.0000
q-006	0.8486	0.6000	0.4000	1.0000	0.6917	0.5000	0.5501	1.0000	0.1514	0.0000	1	false	1.0000
q-007	0.9060	0.6000	0.3000	1.0000	0.8056	0.6667	0.5696	1.0000	0.0940	0.0000	1	false	1.0000
q-008	1.0000	0.2000	0.1000	1.0000	1.0000	1.0000	0.8000	1.0000	0.0000	0.0000	1	false	1.0000
q-009	1.0000	0.2000	0.1000	1.0000	1.0000	1.0000	0.8000	1.0000	0.0000	0.0000	1	false	1.0000
q-010	0.7039	0.4000	0.2000	0.0000	0.6056	0.6667	0.6691	1.0000	0.2961	0.0000	1	false	1.0000
q-011	0.7039	0.4000	0.2000	0.0000	0.6222	0.6667	0.6632	1.0000	0.2961	0.0000	1	false	1.0000
q-012	0.8070	0.4000	0.3000	1.0000	0.6000	0.3333	0.6708	1.0000	0.1930	0.0000	1	false	1.0000
q-013	0.4632	0.2000	0.2000	0.0000	0.3547	0.3333	0.7607	1.0000	0.5368	0.0000	2	false	1.0000
q-014	0.6508	0.4000	0.2000	0.0000	0.4667	0.3333	0.7181	0.7654	0.1145	0.2346	1	true	1.0000
q-015	0.4825	0.2000	0.2000	1.0000	0.2917	0.0000	0.8321	1.0000	0.5175	0.0000	4	false	1.0000
q-016	0.8503	0.4000	0.2000	1.0000	0.7000	0.5000	0.7181	1.0000	0.1497	0.0000	1	false	1.0000
q-017	0.6131	0.2000	0.1000	0.0000	0.5385	0.5000	0.7992	1.0000	0.3869	0.0000	1	false	1.0000
q-018	0.5856	0.4000	0.2000	0.0000	0.4667	0.5000	0.6715	1.0000	0.4144	0.0000	1	false	1.0000
q-019	0.1357	0.0000	0.1000	0.0000	0.0667	0.0000	0.9703	0.7654	0.6297	0.2346	10	true	
q-020	0.3869	0.2000	0.1000	0.0000	0.2500	0.5000	0.8400	0.6131	0.2263	0.3869	2	true	1.0000
q-021	0.1952	0.2000	0.1000	0.0000	0.1081	0.2500	0.8718	0.8319	0.6367	0.1681	3	true	1.0000
q-022	0.5757	0.4000	0.4000	1.0000	0.3986	0.2500	0.7166	1.0000	0.4243	0.0000	4	false	1.0000
q-023	0.7989	0.4000	0.3000	1.0000	0.5917	0.3333	0.6761	1.0000	0.2011	0.0000	1	false	1.0000
q-024	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	1.0000		true	
q-025	0.0000	0.0000	0.0000	0.0000	0.0238	0.0000	0.9977	0.6131	0.6131	0.3869	21	true	
q-026	0.4600	0.2000	0.2000	0.0000	0.3168	0.2000	0.7288	0.8688	0.4088	0.1312	1	true	1.0000
q-027	0.1128	0.0000	0.1000	0.0000	0.1635	0.0000	0.9477	1.0000	0.8872	0.0000	10	false	
q-028	0.5805	0.4000	0.3000	0.0000	0.5000	0.5000	0.6293	1.0000	0.4195	0.0000	2	false	1.0000
q-029	0.2463	0.2000	0.1000	0.0000	0.1957	0.2500	0.8294	0.8319	0.5856	0.1681	2	true	1.0000
q-030	1.0000	0.6000	0.3000	1.0000	1.0000	1.0000	0.5120	1.0000	0.0000	0.0000	1	false	1.0000
q-031	0.8667	0.6000	0.4000	1.0000	0.7095	0.5000	0.5377	1.0000	0.1333	0.0000	1	false	1.0000
q-032	0.3869	0.2000	0.1000	0.0000	0.2976	0.5000	0.8377	1.0000	0.6131	0.0000	2	false	1.0000
q-033	0.4693	0.2000	0.1000	0.0000	0.3333	0.3333	0.8000	0.4693	0.0000	0.5307	1	true	1.0000
q-034	0.0000	0.0000	0.0000	0.0000	0.0370	0.0000	0.9994	1.0000	1.0000	0.0000	27	false	
q-035	0.3869	0.2000	0.1000	1.0000	0.2000	0.0000	0.9181	1.0000	0.6131	0.0000	5	false	1.0000
q-036	0.3066	0.2000	0.1000	0.0000	0.2255	0.0000	0.8664	1.0000	0.6934	0.0000	3	false	1.0000
q-037	0.1846	0.0000	0.1000	0.0000	0.0556	0.0000	0.9664	0.6131	0.4286	0.3869	9	true	
q-038	0.4693	0.2000	0.1000	0.0000	0.3333	0.3333	0.8000	0.4693	0.0000	0.5307	1	true	1.0000
q-039	0.7039	0.4000	0.2000	0.0000	0.6389	0.6667	0.6548	1.0000	0.2961	0.0000	1	false	1.0000
q-040	1.0000	0.2000	0.1000	1.0000	1.0000	1.0000	0.8000	1.0000	0.0000	0.0000	1	false	1.0000
q-041	0.4693	0.2000	0.1000	0.0000	0.3333	0.3333	0.8000	0.4693	0.0000	0.5307	1	true	1.0000
q-042	0.4632	0.2000	0.2000	0.0000	0.3547	0.3333	0.7607	1.0000	0.5368	0.0000	2	false	1.0000
q-043	0.4693	0.2000	0.1000	0.0000	0.3333	0.3333	0.8000	0.4693	0.0000	0.5307	1	true	1.0000
