query_id	ndcg10	recall10	recall20	recall100	recall300	recall1000	mrr10	precision5	precision10	allGoldInTop10	map	rPrecision	rbpResidual	distinctDocs5	distinctDocs10	sameDocRuns10	axis	domain	type
hu-001	0.3191	0.5000	0.5000	0.5000			0.2500	0.4000	0.2000	0.0000	0.1625	0.2500	0.8157	5	10	10	inflected-form		
hu-002	1.0000	1.0000	1.0000	1.0000			1.0000	0.6000	0.3000	1.0000	1.0000	1.0000	0.5120	5	10	10	inflected-form		
hu-003	0.8048	0.7500	0.7500	0.7500			1.0000	0.6000	0.3000	0.0000	0.6875	0.7500	0.5376	5	10	10	inflected-form		
hu-004	0.5856	0.5000	0.7500	0.7500			1.0000	0.4000	0.2000	0.0000	0.4561	0.5000	0.6684	5	10	10	inflected-form		
hu-005	0.1681	0.2500	0.2500	0.2500			0.2500	0.2000	0.1000	0.0000	0.0625	0.2500	0.8976	5	10	10	inflected-form		
hu-006	0.3973	0.5000	0.7500	1.0000			0.5000	0.4000	0.2000	0.0000	0.3020	0.2500	0.7492	5	10	10	inflected-form		
hu-007	0.9494	1.0000	1.0000	1.0000			1.0000	0.6000	0.4000	1.0000	0.8611	0.7500	0.4784	5	10	10	inflected-form		
hu-008	0.8358	0.8000	1.0000	1.0000			1.0000	0.6000	0.4000	0.0000	0.7857	0.6000	0.4486	5	10	10	inflected-form		
hu-009	0.6596	0.7500	0.7500	0.7500			1.0000	0.2000	0.3000	0.0000	0.4405	0.2500	0.6820	5	10	10	inflected-form		
hu-010	0.2566	0.5000	0.7500	1.0000			0.1667	0.0000	0.2000	0.0000	0.1753	0.0000	0.8937	5	10	10	inflected-form		
hu-011	0.6934	1.0000	1.0000	1.0000			0.5000	0.4000	0.2000	1.0000	0.5833	0.5000	0.7120	5	10	10	exact-keyword		knowledge
hu-012	0.8688	0.8000	0.8000	1.0000			1.0000	0.8000	0.4000	0.0000	0.8182	0.8000	0.4096	5	10	10	exact-keyword		
hu-013	0.7654	0.6667	1.0000	1.0000			1.0000	0.4000	0.2000	0.0000	0.7436	0.6667	0.6263	5	10	10	exact-keyword		
hu-014	0.9838	1.0000	1.0000	1.0000			1.0000	0.8000	0.6000	1.0000	0.9484	0.8333	0.2916	5	10	10	exact-keyword		
hu-015	1.0000	1.0000	1.0000	1.0000			1.0000	0.2000	0.1000	1.0000	1.0000	1.0000	0.8000	5	10	10	rare-technical-token		
hu-016	1.0000	1.0000	1.0000	1.0000			1.0000	0.4000	0.2000	1.0000	1.0000	1.0000	0.6400	5	10	10	rare-technical-token		
hu-017	0.9197	1.0000	1.0000	1.0000			1.0000	0.4000	0.2000	1.0000	0.8333	0.5000	0.6720	5	10	10	rare-technical-token		
hu-018	0.7708	0.8333	1.0000	1.0000			1.0000	0.6000	0.5000	0.0000	0.6343	0.5000	0.4896	5	10	10	rare-technical-token		
hu-019	1.0000	1.0000	1.0000	1.0000			1.0000	1.0000	0.5000	1.0000	1.0000	1.0000	0.3277	5	10	10	multi-word-phrase	docs	
hu-020	0.8855	1.0000	1.0000	1.0000			1.0000	0.6000	0.3000	1.0000	0.7556	0.6667	0.5901	5	10	10	multi-word-phrase		
hu-021	0.9829	1.0000	1.0000	1.0000			1.0000	0.8000	0.4000	1.0000	0.9500	0.7500	0.4301	5	10	10	multi-word-phrase		
hu-022	0.9620	1.0000	1.0000	1.0000			1.0000	0.6000	0.4000	1.0000	0.8929	0.7500	0.4596	5	10	10	multi-word-phrase		
hu-023	0.7537	0.7500	0.7500	0.7500			1.0000	0.6000	0.3000	0.0000	0.6042	0.7500	0.5696	5	10	10	synonym		
hu-024	0.7246	0.7500	0.7500	0.7500			1.0000	0.4000	0.3000	0.0000	0.5417	0.5000	0.6065	5	10	10	synonym		
hu-025	0.9197	1.0000	1.0000	1.0000			1.0000	0.4000	0.2000	1.0000	0.8333	0.5000	0.6720	5	10	10	synonym		
hu-026	0.8319	0.7500	0.7500	0.7500			1.0000	0.6000	0.3000	0.0000	0.7500	0.7500	0.5120	5	10	10	domain-filtered	docs	knowledge
hu-027	1.0000	1.0000	1.0000	1.0000			1.0000	0.6000	0.3000	1.0000	1.0000	1.0000	0.5120	5	10	10	domain-filtered	docs	knowledge
hu-028	0.3008	0.4000	0.6000	0.6000			0.3333	0.4000	0.2000	0.0000	0.1895	0.4000	0.7791	5	10	10	production-shaped-long-form		
hu-029	0.9059	1.0000	1.0000	1.0000			1.0000	0.4000	0.4000	1.0000	0.7679	0.5000	0.5220	5	10	10	production-shaped-long-form		
hu-030	0.8327	1.0000	1.0000	1.0000			1.0000	0.6000	0.4000	1.0000	0.6500	0.5000	0.5737	5	10	10	production-shaped-long-form		
hu-031	0.7877	0.7500	0.7500	0.7500			1.0000	0.6000	0.3000	0.0000	0.6500	0.5000	0.5581	5	10	10	production-shaped-long-form		
