query_id	ndcg10	recall10	recall20	recall100	recall300	recall1000	mrr10
PLAIN-488	0.9306	0.6000	0.7333	0.7333			1.0000
PLAIN-499	0.3220	0.1176	0.1176	0.1471			0.2500
PLAIN-510	0.0000	0.0000	0.0000	0.0000			0.0000
PLAIN-520	0.0000	0.0000	0.0000	0.0000			0.0000
PLAIN-531	0.3322	0.0130	0.0227	0.0812			0.3333
PLAIN-541	0.1009	0.1667	0.3333	0.3333			0.1429
PLAIN-551	0.0000	0.0000	0.0000	0.0000			0.0000
PLAIN-561	0.3590	0.0800	0.0800	0.0800			1.0000
PLAIN-571	0.2558	0.2857	0.2857	0.2857			0.3333
PLAIN-583	0.2201	0.0227	0.0227	0.0227			1.0000
PLAIN-593	0.4693	0.3333	0.3333	0.3333			1.0000
PLAIN-603	0.0000	0.0000	0.0000	0.0000			0.0000
PLAIN-613	0.0000	0.0000	0.1000	0.1000			0.0000
PLAIN-623	0.3273	0.0732	0.0976	0.1707			0.5000
PLAIN-634	0.4035	0.1429	0.1429	0.1429			1.0000
PLAIN-645	0.0000	0.0000	0.0000	0.0000			0.0000
PLAIN-660	1.0000	0.0211	0.0358	0.0674			1.0000
PLAIN-671	1.0000	1.0000	1.0000	1.0000			1.0000
PLAIN-681	1.0000	1.0000	1.0000	1.0000			1.0000
PLAIN-691	0.0000	0.0000	0.0476	0.0476			0.0000
PLAIN-701	0.6013	0.5000	0.5000	0.5000			1.0000
PLAIN-711	0.3052	0.0351	0.0351	0.0526			1.0000
PLAIN-721	1.0000	0.4000	0.7200	0.7200			1.0000
PLAIN-731	0.8669	0.1481	0.2037	0.4444			1.0000
PLAIN-741	0.8454	0.4211	0.4211	0.4211			1.0000
PLAIN-751	0.0000	0.0000	0.0000	0.0000			0.0000
PLAIN-761	0.1513	0.1667	0.1667	0.3333			0.3333
PLAIN-771	1.0000	1.0000	1.0000	1.0000			1.0000
PLAIN-782	0.0000	0.0000	0.0000	0.0000			0.0000
PLAIN-792	0.6448	0.5000	0.5000	0.5000			1.0000
PLAIN-806	0.8512	0.0833	0.1146	0.2604			1.0000
PLAIN-817	0.0000	0.0000	0.0000	0.0000			0.0000
PLAIN-827	0.7663	0.0328	0.0574	0.2049			1.0000
PLAIN-838	0.8551	0.7778	0.7778	0.7778			1.0000
PLAIN-850	0.6489	0.0877	0.0877	0.0877			1.0000
PLAIN-872	0.0000	0.0000	0.0000	0.0000			0.0000
PLAIN-882	0.3590	0.1333	0.1333	0.1333			1.0000
PLAIN-892	0.8701	0.0870	0.0870	0.0870			1.0000
PLAIN-902	0.6367	0.5000	0.5000	0.5000			1.0000
PLAIN-913	0.8701	0.2353	0.2647	0.2647			1.0000
PLAIN-924	0.2201	0.0313	0.0313	0.0313			1.0000
PLAIN-934	0.6403	0.0693	0.1287	0.3564			0.5000
PLAIN-946	0.3149	0.0645	0.0645	0.0645			1.0000
PLAIN-956	0.5185	0.0291	0.0534	0.1748			0.5000
PLAIN-966	0.1357	0.3333	0.3333	0.3333			0.1000
PLAIN-977	0.0000	0.0000	0.3333	0.3333			0.0000
PLAIN-987	0.2961	0.3333	0.3333	0.3333			0.5000
PLAIN-997	0.0000	0.0000	0.0000	0.0000			0.0000
PLAIN-1008	0.0000	0.0000	0.0000	0.0000			0.0000
PLAIN-1018	0.5211	0.1000	0.1167	0.1333			0.5000
