query_id	ndcg10	recall10	recall20	recall100	recall300	recall1000	mrr10	precision5	precision10	allGoldInTop10	map	rPrecision	rbpResidual
PLAIN-551	0.0000	0.0000	0.0000	0.0000			0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
PLAIN-561	0.3590	0.0800	0.0800	0.0800			1.0000	0.4000	0.2000	0.0000	0.0800	0.0800	0.6400
PLAIN-571	0.2558	0.2857	0.2857	0.2857			0.3333	0.4000	0.2000	0.0000	0.1190	0.2857	0.7696
PLAIN-583	0.2201	0.0227	0.0227	0.0227			1.0000	0.2000	0.1000	0.0000	0.0227	0.0227	0.8000
PLAIN-593	0.4693	0.3333	0.3333	0.3333			1.0000	0.2000	0.1000	0.0000	0.3333	0.3333	0.8000
PLAIN-603	0.0000	0.0000	0.0000	0.0000			0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
PLAIN-613	0.0000	0.0000	0.1000	0.1000			0.0000	0.0000	0.0000	0.0000	0.0091	0.0000	0.9785
PLAIN-623	0.3273	0.0732	0.0732	0.1463			0.5000	0.4000	0.3000	0.0000	0.0515	0.1220	0.6438
PLAIN-634	0.4323	0.1429	0.1429	0.1429			1.0000	0.4000	0.3000	0.0000	0.1156	0.1429	0.5876
PLAIN-645	0.0000	0.0000	0.0000	0.0000			0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
PLAIN-660	1.0000	0.0211	0.0358	0.0653			1.0000	1.0000	1.0000	1.0000	0.0564		0.0173
PLAIN-671	1.0000	1.0000	1.0000	1.0000			1.0000	0.2000	0.1000	1.0000	1.0000	1.0000	0.8000
PLAIN-681	1.0000	1.0000	1.0000	1.0000			1.0000	0.2000	0.1000	1.0000	1.0000	1.0000	0.8000
PLAIN-691	0.0000	0.0000	0.0476	0.0476			0.0000	0.0000	0.0000	0.0000	0.0030	0.0476	0.9930
PLAIN-701	0.5902	0.5000	0.5000	0.5000			1.0000	0.6000	0.4000	0.0000	0.3875	0.5000	0.5161
PLAIN-711	0.3590	0.0351	0.0351	0.0526			1.0000	0.4000	0.2000	0.0000	0.0368	0.0526	0.6397
PLAIN-721	1.0000	0.4000	0.7200	0.7200			1.0000	1.0000	1.0000	1.0000	0.7200	0.7200	0.0180
PLAIN-731	0.8630	0.1481	0.2222	0.4259			1.0000	1.0000	0.8000	0.0000	0.2935	0.3889	0.1452
PLAIN-741	0.8486	0.4211	0.4211	0.4211			1.0000	0.8000	0.8000	0.0000	0.3877	0.4211	0.2228
PLAIN-751	0.0000	0.0000	0.0000	0.0000			0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
PLAIN-761	0.1513	0.1667	0.1667	0.3333			0.3333	0.2000	0.1000	0.0000	0.0595	0.1667	0.8720
PLAIN-771	1.0000	1.0000	1.0000	1.0000			1.0000	0.6000	0.3000	1.0000	1.0000	1.0000	0.5120
PLAIN-782	0.0000	0.0000	0.0000	0.0000			0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
PLAIN-792	0.6448	0.5000	0.5000	0.5000			1.0000	0.6000	0.3000	0.0000	0.5000	0.5000	0.5120
PLAIN-806	0.8512	0.0833	0.1146	0.2708			1.0000	0.8000	0.8000	0.0000	0.1773	0.2604	0.1751
PLAIN-817	0.0000	0.0000	0.0000	0.0000			0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
PLAIN-827	0.6699	0.0328	0.0533	0.1926			0.5000	0.6000	0.8000	0.0000	0.1090		0.3998
PLAIN-838	0.8551	0.7778	0.7778	0.7778			1.0000	1.0000	0.7000	0.0000	0.7778	0.7778	0.2097
PLAIN-850	0.6489	0.0877	0.0877	0.0877			1.0000	1.0000	0.5000	0.0000	0.0877	0.0877	0.3277
PLAIN-872	0.0000	0.0000	0.0000	0.0000			0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
PLAIN-882	0.3590	0.1333	0.1333	0.1333			1.0000	0.4000	0.2000	0.0000	0.1333	0.1333	0.6400
PLAIN-892	0.8701	0.0870	0.0870	0.0870			1.0000	1.0000	0.8000	0.0000	0.0870	0.0870	0.1678
PLAIN-902	0.6367	0.5000	0.5000	0.5000			1.0000	0.4000	0.2000	0.0000	0.5000	0.5000	0.6400
PLAIN-913	0.8669	0.2353	0.2353	0.2353			1.0000	1.0000	0.8000	0.0000	0.2320	0.2353	0.1762
PLAIN-924	0.2201	0.0313	0.0313	0.0313			1.0000	0.2000	0.1000	0.0000	0.0313	0.0313	0.8000
PLAIN-934	0.7975	0.0792	0.1386	0.3564			1.0000	0.8000	0.8000	0.0000	0.2511		0.2214
PLAIN-946	0.3149	0.0645	0.0645	0.0645			1.0000	0.4000	0.2000	0.0000	0.0484	0.0645	0.6976
PLAIN-956	0.4768	0.0243	0.0583	0.1845			0.5000	0.6000	0.5000	0.0000	0.0979		0.4563
PLAIN-966	0.1413	0.3333	0.3333	0.3333			0.1111	0.0000	0.1000	0.0000	0.0370	0.0000	0.9664
PLAIN-977	0.0000	0.0000	0.3333	0.3333			0.0000	0.0000	0.0000	0.0000	0.0238	0.0000	0.9890
PLAIN-987	0.2346	0.3333	0.3333	0.3333			0.3333	0.2000	0.1000	0.0000	0.1111	0.3333	0.8720
PLAIN-997	0.0000	0.0000	0.0000	0.0000			0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
PLAIN-1008	0.0000	0.0000	0.0000	0.0000			0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
PLAIN-1018	0.4923	0.1000	0.1167	0.1333			0.3333	0.4000	0.6000	0.0000	0.0693	0.1333	0.5567
PLAIN-1028	0.0000	0.0000	0.0000	0.0000			0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
